level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,3,2,7,1,210,752,126,33,96.847176,recognize,1
5,1,3,2,7,2,346,752,69,24,96.627617,when,1
5,1,3,2,7,3,425,761,36,15,96.63903,we,1
5,1,3,2,7,4,471,760,48,16,96.437263,saw,1
5,1,3,2,7,5,528,752,75,24,96.72187,them.,1
5,1,3,2,7,6,624,753,54,23,96.278244,Our,1
5,1,3,2,7,7,688,752,51,25,96.40696,first,1
5,1,3,2,7,8,749,752,118,30,94.842224,"business,",1
5,1,3,2,7,9,878,753,66,30,96.945602,"then,",1
5,1,3,2,7,10,957,753,19,24,96.842178,is,1
5,1,3,2,7,11,987,757,25,20,96.948769,to,1
5,1,3,2,8,1,211,789,71,32,96.274208,bring,1
5,1,3,2,8,2,296,788,120,24,96.460968,ourselves,1
5,1,3,2,8,3,431,788,51,24,96.743172,into,1
5,1,3,2,8,4,498,797,13,15,96.888222,a,1
5,1,3,2,8,5,527,788,104,32,96.686203,position,1
5,1,3,2,8,6,647,788,24,24,96.604034,in,1
5,1,3,2,8,7,688,788,80,25,96.803421,which,1
5,1,3,2,8,8,783,797,37,15,96.421608,we,1
5,1,3,2,8,9,836,797,44,15,96.327759,can,1
5,1,3,2,8,10,896,797,42,24,96.40876,say,1
5,1,3,2,8,11,952,788,60,25,93.018318,with,1
5,1,3,2,8,12,1030,808,2,2,89.366142,.,1
5,1,3,2,9,1,211,824,138,24,96.436913,confidence,1
5,1,3,2,9,2,361,824,55,24,96.938332,‘this,1
5,1,3,2,9,3,427,823,48,25,97.009293,and,1
5,1,3,2,9,4,487,823,47,25,96.936722,this,1
5,1,3,2,9,5,546,824,48,24,96.661263,and,1
5,1,3,2,9,6,605,823,48,25,96.741943,this,1
5,1,3,2,9,7,665,833,39,15,96.741943,are,1
5,1,3,2,9,8,716,829,48,25,96.946106,art;,1
5,1,3,2,9,9,775,824,54,25,97.004738,that,1
5,1,3,2,9,10,839,824,49,25,96.783905,and,1
5,1,3,2,9,11,900,825,52,24,96.360703,that,1
5,1,3,2,9,12,964,824,48,25,96.449463,and,1
5,1,3,2,10,1,211,860,51,24,96.973549,that,1
5,1,3,2,10,2,271,868,38,16,96.944229,are,1
5,1,3,2,10,3,319,864,43,20,96.560242,not,1
5,1,3,2,10,4,371,859,52,25,84.131798,"art’,",1
5,1,3,3,1,1,244,895,61,38,96.727585,This,1
5,1,3,3,1,2,318,895,80,24,96.87323,would,1
5,1,3,3,1,3,411,895,30,24,96.988533,be,1
5,1,3,3,1,4,453,890,85,54,96.970772,hardly,1
5,1,3,3,1,5,550,895,78,25,96.70433,worth,1
5,1,3,3,1,6,640,896,114,40,96.633797,insisting,1
5,1,3,3,1,7,766,905,75,24,95.383759,"upon,",1
5,1,3,3,1,8,855,896,46,25,96.959297,but,1
5,1,3,3,1,9,912,895,39,26,96.807175,for,1
